Part Data,,,,,,,File Locations,,,,,Cutting Specifications,,,,,,
Part Name,Translated Name,Quantity,Parent Assembly,Material,Material Thickness,Purchase Source,Solidworks File,"Drawing, SLDWRKS","Drawing, PDF",DXF File,STL File,End Mill Part Number,End Mill Manufacturer,End Mill Source,Feed Rate (inch/min),Spindle Speed (rpm),Cut Depth (in),Stepover (in)
BBFB,"Bottom Box, Front/Back",2,Bottom Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
BBI,"Bottom Box, Inside",1,Bottom Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
BBO,"Bottom Box, Outside",1,Bottom Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
BBLR,"Bottom Box, Left/Right",2,Bottom Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TR,Tray,1,Bottom Box,Komatex,"1/8""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBI,"Top Box, Inside",1,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBFB,"Top Box, Front/Back",1,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBFBH,"Top Box, Front/Back w/Hole",1,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBLR,"Top Box, Left/Right",1,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBLRH,"Top Box, Left/Right w/Hole",1,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBS,Top Box Support,2,Top Box,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
TBO,"Top Box, Outside",1,Top Box,polycarbonate,"1/8""",McMaster Carr,link,link,link,link,link,65-000,Onsrud,Amazon,50,18000,0.125,0.03
WS,Window Short,3,Side Panel,polycarbonate,"1/8""",McMaster Carr,link,link,link,link,link,65-000,Onsrud,Amazon,50,18000,0.125,0.03
WT,Window Tall,1,Side Panel,polycarbonate,"1/8""",McMaster Carr,link,link,link,link,link,65-000,Onsrud,Amazon,50,18000,0.125,0.03
SP,Side Panel,4,Side Panel,Komatex,"1/8""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
NEO,Neoprene,4,Side Panel,neoprene,"3/8""",McMaster Carr,link,link,link,link,link,65-000,Onsrud,Amazon,100,15000,0.125,0.03
CDGR,"Column Diagonal, Right",4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,50,18000,0.125,0.03
CDGL,"Column Diagonal, Left",4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,50,18000,0.125,0.03
CF,Column Face,4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
CFC,Column Face,4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
CSR,"Column Side, Right",4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03
CSL,"Column Side, Left",4,Column,Komatex,"1/4""",Altec Plastics,link,link,link,link,link,65-000,Onsrud,Amazon,250,18000,0.125,0.03